Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
56770-82554,P,Shane,Shane Bieber,Bieber,51,2,11500,DET@CLE,CLE,DET,,,,,,P
56770-16960,P,Zack,Zack Wheeler,Wheeler,61,1,10500,PHI@ATL,PHI,ATL,,,,Yes,,P
56770-16931,P,Yu,Yu Darvish,Darvish,30,2,10200,SD@TEX,SD,TEX,,,,,,P
56770-5202,P,Justin,Justin Verlander,Verlander,43,1,10000,OAK@HOU,HOU,OAK,IL,Elbow,,,,P
56770-68488,P,Blake,Blake Snell,Snell,35.5,2,9800,SD@TEX,SD,TEX,,,,,,P
56770-68523,P,Joe,Joe Musgrove,Musgrove,52,1,9700,SD@TEX,SD,TEX,,,,Yes,,P
56770-85251,P,Zac,Zac Gallen,Gallen,37.5,12,9500,CIN@ARI,ARI,CIN,IL,Forearm,,,,P
56770-80433,P,Dinelson,Dinelson Lamet,Lamet,40,12,9400,SD@TEX,SD,TEX,IL,Elbow,,,,P
56770-5522,P,Zack,Zack Greinke,Greinke,35.5,2,9300,OAK@HOU,HOU,OAK,,,,,,P
56770-60647,P,Aaron,Aaron Nola,Nola,30,2,9100,PHI@ATL,PHI,ATL,,,,,,P
56770-85599,P,Framber,Framber Valdez,Valdez,37.27272727272727,11,9000,OAK@HOU,HOU,OAK,IL,Finger,,,,P
56770-79078,P,Ian,Ian Anderson,Anderson,33,1,9000,PHI@ATL,ATL,PHI,,,,,,P
56770-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,39,1,9000,OAK@HOU,HOU,OAK,,,,Yes,,P
56770-17064,P,Sonny,Sonny Gray,Gray,33.18181818181818,11,8700,CIN@ARI,CIN,ARI,IL,Back,,,,P
56770-104584,P,Zach,Zach Plesac,Plesac,28,1,8600,DET@CLE,CLE,DET,,,,Yes,,P
