Pitchers to use:
	Joe Ryan $11000 [Minnesota Twins] vs New York Yankees - Overall: -9.94 K% Average: 0.25 K% vs L: 0.19 K% vs R: 0.31
	Eric Lauer $9300 [Milwaukee Brewers] vs Detroit Tigers - Overall: -13.22 K% Average: 0.23 K% vs L: 0.21 K% vs R: 0.24
	Charlie Morton $9800 [Atlanta Braves] vs Miami Marlins - Overall: -13.32 K% Average: 0.28 K% vs L: 0.27 K% vs R: 0.29
	Nestor Cortes $10500 [New York Yankees] vs Minnesota Twins - Overall: -22.35 K% Average: 0.31 K% vs L: 0.37 K% vs R: 0.25

Pitchers to target:
	Mike Clevinger $8700 [Chicago White Sox] vs Toronto Blue Jays - Overall: 8.61 K% Average: 0.19 K% vs L: 0.22 K% vs R: 0.15
	Brady Singer $7400 [Kansas City Royals] vs Arizona Diamondbacks - Overall: 6.52 K% Average: 0.24 K% vs L: 0.29 K% vs R: 0.2
	John Brebbia $5500 [San Francisco Giants] vs St. Louis Cardinals - Overall: 5.41 K% Average: 0.2 K% vs L: 0.22 K% vs R: 0.17
	Blake Snell $7600 [San Diego Padres] vs Chicago Cubs - Overall: 3.76 K% Average: 0.31 K% vs L: 0.29 K% vs R: 0.33
	Jose Berrios $7800 [Toronto Blue Jays] vs Chicago White Sox - Overall: 3.17 K% Average: 0.2 K% vs L: 0.17 K% vs R: 0.23
	Jake Woodford $6500 [St. Louis Cardinals] vs San Francisco Giants - Overall: 3.05 K% Average: 0.12 K% vs L: 0.11 K% vs R: 0.14
	Spencer Turnbull $6200 [Detroit Tigers] vs Milwaukee Brewers - Overall: 2.75 K% Average: 0.22 K% vs L: 0.22 K% vs R: 0.22
	Jose Butto $5500 [New York Mets] vs Washington Nationals - Overall: 0.09 K% Average: 0.24 K% vs L: 0.33 K% vs R: 0.14
	Josiah Gray $7200 [Washington Nationals] vs New York Mets - Overall: -0.26 K% Average: 0.24 K% vs L: 0.23 K% vs R: 0.24
	Griffin Canning $8800 [Los Angeles Angels] vs Oakland Athletics - Overall: -1.16 K% Average: 0.22 K% vs L: 0.18 K% vs R: 0.26
	Justin Steele $11400 [Chicago Cubs] vs San Diego Padres - Overall: -1.76 K% Average: 0.26 K% vs L: 0.3 K% vs R: 0.23
	Ryne Nelson $8400 [Arizona Diamondbacks] vs Kansas City Royals - Overall: -2.3 K% Average: 0.23 K% vs L: 0.26 K% vs R: 0.2

Catchers to use:
	Sean Murphy $3500 [Atlanta Braves] vs Bryan Hoeing - Overall: 10.4 HR Rating: 14.01 Value Rating: 2.97
	Keibert Ruiz $2700 [Washington Nationals] vs Jose Butto - Overall: 4.71 HR Rating: 12.85 Value Rating: 1.75
	Yasmani Grandal $2600 [Chicago White Sox] vs Jose Berrios - Overall: 1.56 HR Rating: -1.79 Value Rating: 0.6
	Willson Contreras $3100 [St. Louis Cardinals] vs John Brebbia - Overall: 1.49 HR Rating: 5.69 Value Rating: 0.48
	Riley Adams $2100 [Washington Nationals] vs Jose Butto - Overall: 1.47 HR Rating: 4.01 Value Rating: 0.7
	Shea Langeliers $2700 [Oakland Athletics] vs Griffin Canning - Overall: 1.29 HR Rating: 4.57 Value Rating: 0.48
	Alejandro Kirk $2700 [Toronto Blue Jays] vs Mike Clevinger - Overall: 1.24 HR Rating: -3.36 Value Rating: 0.46
	Salvador Perez $2700 [Kansas City Royals] vs Ryne Nelson - Overall: 1.0 HR Rating: 3.58 Value Rating: 0.37
	Eric Haase $2300 [Detroit Tigers] vs Eric Lauer - Overall: 0.79 HR Rating: 1.55 Value Rating: 0.35
	Jake Rogers $2500 [Detroit Tigers] vs Eric Lauer - Overall: 0.77 HR Rating: 1.61 Value Rating: 0.31
	Danny Jansen $2300 [Toronto Blue Jays] vs Mike Clevinger - Overall: 0.72 HR Rating: 2.72 Value Rating: 0.31
	William Contreras $2600 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 0.71 HR Rating: -2.24 Value Rating: 0.27
	Yan Gomes $3000 [Chicago Cubs] vs Blake Snell - Overall: 0.67 HR Rating: 0.2 Value Rating: 0.22
	Luis Torrens $2000 [Chicago Cubs] vs Blake Snell - Overall: 0.33 HR Rating: 0.11 Value Rating: 0.17
	Nick Fortes $2300 [Miami Marlins] vs Charlie Morton - Overall: 0.25 HR Rating: 0.17 Value Rating: 0.11
	Ryan Jeffers $2800 [Minnesota Twins] vs Nestor Cortes - Overall: 0.23 HR Rating: 0.67 Value Rating: 0.08
	Kyle Higashioka $2500 [New York Yankees] vs Joe Ryan - Overall: 0.14 HR Rating: 2.05 Value Rating: 0.06
	Francisco Alvarez $2200 [New York Mets] vs Josiah Gray - Overall: 0.09 HR Rating: 0.44 Value Rating: 0.04
	Austin Nola $2200 [San Diego Padres] vs Justin Steele - Overall: 0.06 HR Rating: -0.85 Value Rating: 0.03
	Joey Bart $2400 [San Francisco Giants] vs Jake Woodford - Overall: 0.05 HR Rating: -0.37 Value Rating: 0.02
	Chadwick Tromp $2200 [Atlanta Braves] vs Bryan Hoeing - Overall: 0.02 HR Rating: 0.02 Value Rating: 0.01
	Blake Sabol $2500 [San Francisco Giants] vs Jake Woodford - Overall: 0.0 HR Rating: 0.0 Value Rating: 0.0
	Carlos Perez $2000 [Oakland Athletics] vs Griffin Canning - Overall: 0.0 HR Rating: 0.0 Value Rating: 0.0
	Brett Sullivan $2000 [San Diego Padres] vs Justin Steele - Overall: 0.0 HR Rating: 0.0 Value Rating: 0.0
	Victor Caratini $2100 [Milwaukee Brewers] vs Spencer Turnbull - Overall: -0.01 HR Rating: -3.73 Value Rating: -0.01
	Tomas Nido $2100 [New York Mets] vs Josiah Gray - Overall: -0.08 HR Rating: -0.49 Value Rating: -0.04
	Freddy Fermin $2000 [Kansas City Royals] vs Ryne Nelson - Overall: -0.1 HR Rating: 0.01 Value Rating: -0.05
	Christian Vazquez $2400 [Minnesota Twins] vs Nestor Cortes - Overall: -0.1 HR Rating: 0.42 Value Rating: -0.04
	Gabriel Moreno $2600 [Arizona Diamondbacks] vs Brady Singer - Overall: -0.11 HR Rating: -1.07 Value Rating: -0.04
	Jose Trevino $2500 [New York Yankees] vs Joe Ryan - Overall: -0.13 HR Rating: 1.36 Value Rating: -0.05
